htid	page_number	page_tokens
inu.30000110568908	1	[]
inu.30000110568908	2	['e', 'f', 'f', 'ii', 'l', 'n']
inu.30000110568908	3	['aims', 'j', 'jun', 'v']
inu.30000110568908	4	[]
inu.30000110568908	5	['dog', 'lost']
inu.30000110568908	6	['author', 'case', 'grower', 'hamilton', 'rose']
inu.30000110568908	7	['bloomington', 'chatto', 'de', 'dog', 'indiana', 'kretser', 'libraries', 'london', 'lust', 'michelle', 'university', 'windus']
inu.30000110568908	8	['act', 'addresses', 'allen', 'asserted', 'australia', 'author', 'available', 'binding', 'book', 'book', 'books', 'bound', 'bridge', 'britain', 'britain', 'british', 'catalogue', 'certiﬁed', 'chatham', 'chatto', 'chatto', 'cip', 'circulated', 'companies', 'condition', 'condition', 'condition', 'consent', 'copyright', 'copyright', 'cover', 'cpi', 'credibly', 'de', 'de', 'designs', 'effort', 'ensure', 'every', 'first', 'first', 'forests', 'form', 'found', 'found', 'fsc', 'great', 'great', 'group', 'group', 'group', 'hired', 'house', 'house', 'house', 'house', 'identiﬁed', 'imposed', 'including', 'isbn', 'kretser', 'kretser', 'legally', 'lent', 'library', 'limited', 'limited', 'limited', 'london', 'mackays', 'made', 'makes', 'mes', 'michelle', 'michelle', 'mixed', 'otherwise', 'otherwise', 'paper', 'papers', 'patents', 'policy', 'printed', 'prior', 'procurement', 'published', 'published', 'published', 'published', 'publisher', 'purchaser', 'random', 'random', 'random', 'random', 'record', 'reg', 'resold', 'right', 'road', 'shall', 'similar', 'sold', 'sourced', 'sources', 'subject', 'subsequent', 'trade', 'trees', 'unwin', 'used', 'vauxhall', 'way', 'windus', 'windus', 'within', 'without', 'without', 'work']
inu.30000110568908	9	['course', 'gus']
inu.30000110568908	10	[]
inu.30000110568908	11	['allalv', 'anything', 'henry', 'james', 'l', 'lvlf', 'n', 'never', 'notebooks', 'ollvl', 'q', 'told', 'v', 'vli', 'whole']
inu.30000110568908	12	[]
inu.30000110568908	13	['u']
inu.30000110568908	14	[]
inu.30000110568908	15	['across', 'air', 'along', 'arching', 'benedictine', 'beside', 'blundering', 'book', 'book', 'brush', 'bush', 'cleaned', 'conviction', 'days', 'days', 'distractions', 'dog', 'drafting', 'elation', 'electricity', 'end', 'evening', 'felt', 'fence', 'foot', 'forgot', 'four', 'fterwards', 'ghosts', 'grimy', 'grown', 'gum', 'habit', 'henry', 'hesitantly', 'house', 'house', 'impression', 'inhabited', 'james', 'kennels', 'kitchen', 'laptop', 'last', 'later', 'left', 'light', 'light', 'log', 'loxley', 'luxuriant', 'luxuries', 'making', 'meddlesome', 'morning', 'nailed', 'need', 'needed', 'neglect', 'nelly', 'nelly', 'night', 'november', 'owed', 'paddocks', 'paragraph', 'past', 'placed', 'previous', 'printout', 'proceeding', 'remember', 'remember', 'remembered', 'rented', 'room', 'running', 'send', 'silence', 'small', 'sniff', 'space', 'spitting', 'sporadically', 'spotted', 'steps', 'stroked', 'surprise', 'swung', 'table', 'tank', 'tap', 'tap', 'teeth', 'thing', 'thought', 'tom', 'toothpaste', 'torchlight', 'torn', 'trees', 'triumph', 'trunks', 'uncanny', 'wall', 'water', 'water', 'weeds', 'wo', 'worry', 'written', 'years', 'zhang', 'ﬁnal', 'ﬁnd', 'ﬂuently']
